0-Pagina WT,1-Titolo italiano,2-Titolo tedesco,3-DataTrek ID,4-Stag. P18,5-Numero di produzione P1,6-Sequenza di trasmissione P153,7-Data di pubblicazione originale,8-Data P95,9-Serie,10-Istanza P14,11-P178,12-Titolo Wikidata,13-Wikidata ID,14-enMAPage,15-deMAPage,16-itMAPage,17-Produzione Wikidata,18-CheckProduzione
Errand of Mercy,Missione di pace,Kampf um Organia,Q2948,1,27,26,23 marzo 1967,1967-03-23,Star Trek: The Original Series,Q11336,25,Errand of Mercy,Q3488859,Errand of Mercy (episode),Kampf um Organia,,6149-27,KO
The Alternative Factor,L'alternativa,Auf Messers Schneide,Q9054,1,20,27,30 marzo 1967,1967-03-30,Star Trek: The Original Series,Q11336,26,The Alternative Factor,Q3487437,The Alternative Factor (episode),Auf Messers Schneide,,6149-20,KO
The City on the Edge of Forever,Uccidere per amore,Griff in die Geschichte,Q9086,1,28,28,6 aprile 1967,1967-04-06,Star Trek: The Original Series,Q11336,27,The City on the Edge of Forever,Q622282,The City on the Edge of Forever (episode),Griff in die Geschichte,,6149-28,KO
Operation: Annihilate!,Pianeta Deneva,,Q6849,1,29,29,13 aprile 1967,1967-04-13,Star Trek: The Original Series,Q11336,28,Operation – Annihilate!,Q3487442,Operation -- Annihilate! (episode),Spock außer Kontrolle,,6149-29,KO
Amok Time,Il duello,Weltraumfieber,Q390,2,34,30,15 settembre 1967,1967-09-15,Star Trek: The Original Series,Q11336,1,Amok Time,Q4747498,Amok Time (episode),Weltraumfieber,,60334,KO
Who Mourns for Adonais?,Dominati da Apollo,Der Tempel des Apoll,Q10033,2,33,31,22 settembre 1967,1967-09-22,Star Trek: The Original Series,Q11336,2,Who Mourns for Adonais?,Q3487403,Who Mourns for Adonais? (episode),Der Tempel des Apoll,,60333,KO
The Changeling,La sfida,Ich heiße Nomad,Q9078,2,37,32,29 settembre 1967,1967-09-29,Star Trek: The Original Series,Q11336,3,The Changeling,Q3488816,The Changeling (episode),Ich heiße Nomad,,60337,KO
"Mirror, Mirror","Specchio, specchio",Ein Parallel-Universum,Q6416,2,39,33,6 ottobre 1967,1967-10-06,Star Trek: The Original Series,Q11336,4,"Mirror, Mirror",Q3312529,"Mirror, Mirror (episode)",Ein Parallel-Universum,,60339,KO
The Apple,La mela,Die Stunde der Erkenntnis,Q9057,2,38,34,13 ottobre 1967,1967-10-13,Star Trek: The Original Series,Q11336,5,The Apple,Q3488828,The Apple (episode),Die Stunde der Erkenntnis,,60338,KO
The Doomsday Machine,La macchina del giudizio universale,Planeten-Killer,Q9113,2,35,35,20 ottobre 1967,1967-10-20,Star Trek: The Original Series,Q11336,6,The Doomsday Machine,Q1136071,The Doomsday Machine (episode),Planeten-Killer (Episode),,60335,KO
Catspaw,Il gatto nero,Das Spukschloß im Weltall,Q1655,2,30,36,27 ottobre 1967,1967-10-27,Star Trek: The Original Series,Q11336,7,Catspaw,Q3487187,Catspaw (episode),Das Spukschloss im Weltall,,60330,KO
"I, Mudd","Io, Mudd",Der dressierte Herrscher,Q3850,2,41,37,3 novembre 1967,1967-11-03,Star Trek: The Original Series,Q11336,8,"I, Mudd",Q3488424,"I, Mudd (episode)",Der dressierte Herrscher,,60341,KO
Metamorphosis,Guarigione da forza cosmica,Metamorphose,Q6219,2,31,38,10 novembre 1967,1967-11-10,Star Trek: The Original Series,Q11336,9,Metamorphosis,Q3487393,Metamorphosis (episode),Metamorphose (Episode),,60331,KO
Journey to Babel,Viaggio a Babel,Reise nach Babel,Q4656,2,44,39,17 novembre 1967,1967-11-17,Star Trek: The Original Series,Q11336,10,Journey to Babel,Q5251725,Journey to Babel (episode),Reise nach Babel,,60344,KO
Friday's Child,Una prigione per Kirk e c.,Im Namen des jungen Tiru,Q3244,2,32,40,1 dicembre 1967,1967-12-01,Star Trek: The Original Series,Q11336,11,Friday's Child,Q3487426,Friday's Child (episode),Im Namen des jungen Tiru,,60332,KO
The Deadly Years,Gli anni della morte,Wie schnell die Zeit vergeht,Q9103,2,40,41,8 dicembre 1967,1967-12-08,Star Trek: The Original Series,Q11336,12,The Deadly Years,Q3488875,The Deadly Years (episode),Wie schnell die Zeit vergeht,,60340,KO
Obsession,L'ossessione,Tödliche Wolken,Q6790,2,47,42,15 dicembre 1967,1967-12-15,Star Trek: The Original Series,Q11336,13,Obsession,Q3487465,Obsession (episode),Tödliche Wolken,,60347,KO
Wolf in the Fold,Fantasmi del passato,Der Wolf im Schafspelz,Q10102,2,36,43,22 dicembre 1967,1967-12-22,Star Trek: The Original Series,Q11336,14,Wolf in the Fold,Q3487137,Wolf in the Fold (episode),Der Wolf im Schafspelz,,60336,KO
The Trouble with Tribbles,Animaletti pericolosi,Kennen Sie Tribbles?,Q9273,2,42,44,29 dicembre 1967,1967-12-29,Star Trek: The Original Series,Q11336,15,The Trouble with Tribbles,Q1136084,The Trouble with Tribbles (episode),Kennen Sie Tribbles?,,60342,KO
The Gamesters of Triskelion,La posta in gioco,Meister der Sklaven,Q9143,2,46,45,5 gennaio 1968,1968-01-05,Star Trek: The Original Series,Q11336,16,The Gamesters of Triskelion,Q3488463,The Gamesters of Triskelion (episode),Meister der Sklaven,,60346,KO
A Piece of the Action,Cicago anni 20,Epigonen,Q117,2,49,46,12 gennaio 1968,1968-01-12,Star Trek: The Original Series,Q11336,17,A Piece of the Action,Q3487454,A Piece of the Action (episode),Epigonen,,60349,KO
The Immunity Syndrome,La galassia in pericolo,Das Loch im Weltraum,Q9155,2,48,47,19 gennaio 1968,1968-01-19,Star Trek: The Original Series,Q11336,18,The Immunity Syndrome,Q3488474,The Immunity Syndrome (episode),Das Loch im Weltraum,,60348,KO
A Private Little War,Guerra privata,Der erste Krieg,Q156,2,45,48,2 febbraio 1968,1968-02-02,Star Trek: The Original Series,Q11336,19,A Private Little War,Q3487169,A Private Little War (episode),Der erste Krieg,,60345,KO
Return to Tomorrow,Ritorno al domani,Geist sucht Körper,Q7572,2,51,49,9 febbraio 1968,1968-02-09,Star Trek: The Original Series,Q11336,20,Return to Tomorrow,Q3487477,Return to Tomorrow (episode),Geist sucht Körper,,60351,KO
Patterns of Force,Gli schemi della forza,Schablonen der Gewalt,Q7003,2,52,50,16 febbraio 1968,1968-02-16,Star Trek: The Original Series,Q11336,21,Patterns of Force,Q520622,Patterns of Force (episode),Schablonen der Gewalt,,60352,KO
By Any Other Name,Con qualsiasi nome,Stein und Staub,Q1509,2,50,51,23 febbraio 1968,1968-02-23,Star Trek: The Original Series,Q11336,22,By Any Other Name,Q3487115,By Any Other Name (episode),Stein und Staub,,60350,KO
The Omega Glory,Le parole sacre,Das Jahr des roten Vogels,Q9206,2,54,52,1 marzo 1968,1968-03-01,Star Trek: The Original Series,Q11336,23,The Omega Glory,Q426790,The Omega Glory (episode),Das Jahr des roten Vogels,,60354,KO
The Ultimate Computer,Il computer che uccide,Computer M5,Q9275,2,53,53,8 marzo 1968,1968-03-08,Star Trek: The Original Series,Q11336,24,The Ultimate Computer,Q3488835,The Ultimate Computer (episode),Computer M5,,60353,KO
Bread and Circuses,Nell'arena con i gladiatori,Brot und Spiele,Q1373,2,43,54,15 marzo 1968,1968-03-15,Star Trek: The Original Series,Q11336,25,Bread and Circuses,Q3487379,Bread and Circuses (episode),Brot und Spiele,,60343,KO
Assignment: Earth,Missione Terra,"Ein Planet, genannt Erde",Q626,2,55,55,29 marzo 1968,1968-03-29,Star Trek: The Original Series,Q11336,26,Assignment: Earth,Q3487499,Assignment: Earth (episode),"Ein Planet, genannt Erde",,60355,KO
Spock's Brain,Operazione cervello,Spock Gehirn (Il cervello di Spock),Q8401,3,61,56,20 settembre 1968,1968-09-20,Star Trek: The Original Series,Q11336,1,Spock's Brain,Q3488820,Spock's Brain (episode),Spocks Gehirn,,60043-61,KO
The Enterprise Incident,Incidente all'Enterprise,Die unsichtbare Falle (La trappola invisibile),Q9122,3,59,57,27 settembre 1968,1968-09-27,Star Trek: The Original Series,Q11336,2,The Enterprise Incident,Q3488489,The Enterprise Incident (episode),Die unsichtbare Falle,,60043-59,KO
The Paradise Syndrome,Il paradiso perduto,Der Obelisk (L'obelisco),Q9210,3,58,58,4 ottobre 1968,1968-10-04,Star Trek: The Original Series,Q11336,3,The Paradise Syndrome,Q3487489,The Paradise Syndrome (episode),Der Obelisk,,60043-58,KO
And the Children Shall Lead,Sul pianeta Triacon,Kurs aus Marcus 12 (Rotta per Macus 12),Q406,3,60,59,11 ottobre 1968,1968-10-11,Star Trek: The Original Series,Q11336,4,And the Children Shall Lead,Q3487183,And the Children Shall Lead (episode),Kurs auf Marcus 12,,60043-60,KO
Is There In Truth No Beauty?,La bellezza è verità?,Die fremde Materie,Q3994,3,62,60,18 ottobre 1968,1968-10-18,Star Trek: The Original Series,Q11336,5,Is There In Truth No Beauty?,Q3487459,Is There in Truth No Beauty? (episode),Die fremde Materie,La bellezza è verità,60043-62,KO
Spectre of the Gun,Lo spettro di una pistola,Wildwest im Weltraum,Q8387,3,56,61,25 ottobre 1968,1968-10-25,Star Trek: The Original Series,Q11336,6,Spectre of the Gun,Q3487385,Spectre of the Gun (episode),Wild West im Weltraum,,60043-56,KO
Day of the Dove,La forza dell'odio,Das Gleichgewicht der Kräfte (L'equilibrio della forza),Q2377,3,66,62,1 novembre 1968,1968-11-01,Star Trek: The Original Series,Q11336,7,Day of the Dove,Q3488439,Day of the Dove (episode),Das Gleichgewicht der Kräfte,,60043-66,KO
For the World is Hollow and I Have Touched the Sky,Ho toccato il cielo,Der verirrte Planet (Il pianeta perduto),Q3174,3,65,63,8 novembre 1968,1968-11-08,Star Trek: The Original Series,Q11336,8,For the World is Hollow and I Have Touched the Sky,Q3488452,For the World is Hollow and I Have Touched the Sky (episode),Der verirrte Planet,,60043-65,KO
The Tholian Web,La ragnatela tholiana,Das Spinnennentz (La ragnatela),Q9265,3,64,64,15 novembre 1968,1968-11-15,Star Trek: The Original Series,Q11336,9,The Tholian Web,Q5106989,The Tholian Web (episode),Das Spinnennetz,,60043-64,KO
Plato's Stepchildren,Umiliati per forza maggiore,Platos Stiefkinder,Q7230,3,67,65,22 novembre 1968,1968-11-22,Star Trek: The Original Series,Q11336,10,Plato's Stepchildren,Q5106979,Plato's Stepchildren (episode),Platons Stiefkinder,,60043-67,KO
Wink of an Eye,Velocità luce,Was summt denn da?,Q10095,3,68,66,29 novembre 1968,1968-11-29,Star Trek: The Original Series,Q11336,11,Wink of an Eye,Q3488808,Wink of an Eye (episode),Was summt denn da?,,60043-68,KO
The Empath,Il diritto di sopravvivere,Der Plan der Vianer,Q9116,3,63,67,6 dicembre 1968,1968-12-06,Star Trek: The Original Series,Q11336,12,The Empath,Q3487409,The Empath (episode),Der Plan der Vianer,,60043-63,KO
Elaan of Troyius,Elena di Troia,Brautschiff Enterprise,Q2794,3,57,68,20 dicembre 1968,1968-12-20,Star Trek: The Original Series,Q11336,13,Elaan of Troyius,Q3488866,Elaan of Troyius (episode),Brautschiff Enterprise,,60043-57,KO
Whom Gods Destroy,Il sogno di un folle,Wen die Götter zerstören,Q10036,3,71,69,3 gennaio 1969,1969-01-03,Star Trek: The Original Series,Q11336,14,Whom Gods Destroy,Q3487448,Whom Gods Destroy (episode),Wen die Götter zerstören,,60043-71,KO
Let That Be Your Last Battlefield,Sia questa l'ultima battaglia,Bele jagt Lokai,Q5396,3,70,70,10 gennaio 1969,1969-01-10,Star Trek: The Original Series,Q11336,15,Let That Be Your Last Battlefield,Q3562193,Let That Be Your Last Battlefield (episode),Bele jagt Lokai,,60043-70,KO
The Mark of Gideon,Il marchio di Gideon,Fast unsterblich,Q9183,3,72,71,17 gennaio 1969,1969-01-17,Star Trek: The Original Series,Q11336,16,The Mark of Gideon,Q3507014,The Mark of Gideon (episode),Fast unsterblich,,60043-72,KO
That Which Survives,Un pianeta ostile,Gefährliche Planetengirls,Q9045,3,69,72,24 gennaio 1969,1969-01-24,Star Trek: The Original Series,Q11336,17,That Which Survives,Q3507047,That Which Survives (episode),Gefährliche Planetengirls,,60043-69,KO
The Lights of Zetar,Le speranze di Zetar,Strahlen greifen an,Q9170,3,73,73,31 gennaio 1969,1969-01-31,Star Trek: The Original Series,Q11336,18,The Lights of Zetar,Q3506721,The Lights of Zetar (episode),Strahlen greifen an,,60043-73,KO
Requiem for Methuselah,Requiem per Matusalemme,Planet der Unsterblichen,Q7557,3,76,74,14 febbraio 1969,1969-02-14,Star Trek: The Original Series,Q11336,19,Requiem for Methuselah,Q3506608,Requiem for Methuselah (episode),Planet der Unsterblichen,,60043-76,KO
The Way to Eden,Viaggio verso Eden,Die Reise nach Eden,Q9289,3,75,75,21 febbraio 1969,1969-02-21,Star Trek: The Original Series,Q11336,20,The Way to Eden,Q3507065,The Way to Eden (episode),Die Reise nach Eden,,60043-75,KO
The Cloud Minders,Una città tra le nuvole,Die Wolkenstadt,Q9088,3,74,76,28 febbraio 1969,1969-02-28,Star Trek: The Original Series,Q11336,21,The Cloud Minders,Q3506698,The Cloud Minders (episode),Die Wolkenstadt,,60043-74,KO
The Savage Curtain,Sfida all'ultimo sangue,Seit es Menschen gibt,Q9235,3,77,77,7 marzo 1969,1969-03-07,Star Trek: The Original Series,Q11336,22,The Savage Curtain,Q3506683,The Savage Curtain (episode),Seit es Menschen gibt,,60043-77,KO
All Our Yesterdays,Un tuffo nel passato,Portal in die Vergangenheit,Q336,3,78,78,14 marzo 1969,1969-03-14,Star Trek: The Original Series,Q11336,23,All Our Yesterdays,Q3506742,All Our Yesterdays (episode),Portal in die Vergangenheit,,60043-78,KO
Turnabout Intruder,L'inversione di rotta,Gefährlicher Tausch,Q9670,3,79,79,3 giugno 1969,1969-06-03,Star Trek: The Original Series,Q11336,24,Turnabout Intruder,Q3507079,Turnabout Intruder (episode),Gefährlicher Tausch,,60043-79,KO
Skin a Cat,Skin a Cat,,Q12241,1,101,,8 settembre 2023,2023-09-08,Star Trek: very Short Treks,Q12239,1,Skin a Cat,Q122414389,Skin a Cat (episode),,,,KO
Holiday Party,Holiday Party,,Q12242,1,102,,13 settembre 2023,2023-09-13,Star Trek: very Short Treks,Q12239,2,Holiday Party,,,,,,KO
Worst Contact,Worst Contact,,Q12243,1,103,,20 settembre 2023,2023-09-20,Star Trek: very Short Treks,Q12239,3,Worst Contact,,,,,,KO
"Holograms, All the Way Down","Holograms, All the Way Down",,Q12244,1,104,,27 settembre 2023,2023-09-27,Star Trek: very Short Treks,Q12239,4,"Holograms, All the Way Down",,,,,,KO
"Walk, Don’t Run","Walk, Don’t Run",,Q12245,1,105,,4 ottobre 2023,2023-10-04,Star Trek: very Short Treks,Q12239,5,"Walk, Don’t Run",,,,,,KO
Caretaker,Dall'altra parte dell'universo,Der Fürsorger,Q1584,1,721,"1,2",16 gennaio 1995,1995-01-16,Star Trek: Voyager,Q10993,1,Caretaker,Q2121683,Caretaker (episode),,,,KO
Parallax,Riflessi nel ghiaccio,Die Parallaxe,Q6952,1,103,3,23 gennaio 1995,1995-01-23,Star Trek: Voyager,Q10993,3,Parallax,Q987352,Parallax (episode),Die Parallaxe,,103,
Time and Again,Ancora una volta,Subraumspalten,Q9372,1,104,4,30 gennaio 1995,1995-01-30,Star Trek: Voyager,Q10993,4,Time and Again,Q1976840,Time and Again (episode),Subraumspalten,,104,
Phage,Ladri di organi,Transplantationen,Q7152,1,105,5,6 febbraio 1995,1995-02-06,Star Trek: Voyager,Q10993,5,Phage,Q661255,Phage (episode),Transplantationen,,105,
The Cloud,La nebulosa,Der mysteriöse Nebel,Q9087,1,106,6,13 febbraio 1995,1995-02-13,Star Trek: Voyager,Q10993,6,The Cloud,Q1016685,The Cloud (episode),Der mysteriöse Nebel,,106,
Eye of the Needle,La cruna dell'ago,Das Nadelöhr,Q3038,1,107,7,20 febbraio 1995,1995-02-20,Star Trek: Voyager,Q10993,7,Eye of the Needle,Q5422700,Eye of the Needle (episode),Das Nadelöhr,,107,
Ex Post Facto,Un testimone insolito,Die Augen des Toten,Q3027,1,108,8,27 febbraio 1995,1995-02-27,Star Trek: Voyager,Q10993,8,Ex Post Facto,Q5419170,Ex Post Facto (episode),Die Augen des Toten,,108,
Emanations,Post mortem,Das Unvorstellbare,Q2842,1,109,9,13 marzo 1995,1995-03-13,Star Trek: Voyager,Q10993,9,Emanations,Q5368979,Emanations (episode),Das Unvorstellbare,,109,
Prime Factors,Fattori primari,,Q7281,1,110,10,20 marzo 1995,1995-03-20,Star Trek: Voyager,Q10993,10,Prime Factors,Q7243264,Prime Factors (episode),Das oberste Gesetz,,110,
State of Flux,Tradimento a bordo,Der Verrat,Q8553,1,111,11,10 aprile 1995,1995-04-10,Star Trek: Voyager,Q10993,11,State of Flux,Q7603745,State of Flux (episode),Der Verrat,,111,
Heroes and Demons,Eroi e demoni,Helden und Dämonen,Q3769,1,112,12,24 aprile 1995,1995-04-24,Star Trek: Voyager,Q10993,12,Heroes and Demons,Q5743163,Heroes and Demons (episode),Helden und Dämonen,,112,
Cathexis,Intruso a bordo,Bewußtseinsverlust,Q1652,1,113,13,1 maggio 1995,1995-05-01,Star Trek: Voyager,Q10993,13,Cathexis,Q5053018,Cathexis (episode),Bewußtseinsverlust,,113,
Faces,Separazione,Von Angesicht zu Angesicht,Q3050,1,114,14,8 maggio 1995,1995-05-08,Star Trek: Voyager,Q10993,14,Faces,Q5428493,Faces (episode),Von Angesicht zu Angesicht,,114,
Jetrel,Il segreto di Neelix,Dr. Jetrels Experiment,Q4350,1,115,15,15 maggio 1995,1995-05-15,Star Trek: Voyager,Q10993,15,Jetrel,Q13639300,Jetrel (episode),Dr. Jetrels Experiment,,115,
Learning Curve,Uno strappo alla regola,Erfahrungswerte,Q5305,1,116,16,22 maggio 1995,1995-05-22,Star Trek: Voyager,Q10993,16,Learning Curve,Q6510101,Learning Curve (episode),Erfahrungswerte,,116,
The 37's,Una nuova Terra,Die 37er,Q9046,2,120,17,28 agosto 1995,1995-08-28,Star Trek: Voyager,Q10993,1,The 37's,Q7711875,The 37's (episode),Die 37er,,120,
Initiations,Iniziazioni,Der Namenlose,Q3960,2,121,18,4 settembre 1995,1995-09-04,Star Trek: Voyager,Q10993,2,Initiations,Q13115900,Initiations (episode),Der Namenlose,,121,
Projections,Proiezioni,Das Holo-Syndrom,Q7294,2,117,19,11 settembre 1995,1995-09-11,Star Trek: Voyager,Q10993,3,Projections,Q7249457,Projections (episode),Das Holo-Syndrom,,117,
Elogium,Fertilità,Elogium,Q2838,2,118,20,18 settembre 1995,1995-09-18,Star Trek: Voyager,Q10993,4,Elogium,Q370412,Elogium (episode),Elogium (Episode),,118,
Non Sequitur,Non sequitur,Der Zeitstrom,Q6734,2,122,21,25 settembre 1995,1995-09-25,Star Trek: Voyager,Q10993,5,Non Sequitur,Q7049114,Non Sequitur (episode),Der Zeitstrom,,122,
Twisted,Torsione spaziale,Die Raumverzerrung,Q9678,2,119,22,2 ottobre 1995,1995-10-02,Star Trek: Voyager,Q10993,6,Twisted,Q7858507,Twisted (episode),Die Raumverzerrung,,119,
Parturition,Genitori per caso,Der Höllenplanet,Q6972,2,123,23,9 ottobre 1995,1995-10-09,Star Trek: Voyager,Q10993,7,Parturition,Q7140870,Parturition (episode),Der Höllenplanet,,123,
Persistence of Vision,Visioni mentali,Rätselhafte Visionen,Q7113,2,124,24,30 ottobre 1995,1995-10-30,Star Trek: Voyager,Q10993,8,Persistence of Vision,Q7170394,Persistence of Vision (episode),Rätselhafte Visionen,,124,
Tattoo,Gli spiriti del cielo,Tattoo,Q8901,2,125,25,6 novembre 1995,1995-11-06,Star Trek: Voyager,Q10993,9,Tattoo,Q7688450,Tattoo (episode),Tattoo,,125,
Cold Fire,Il potere della mente,Suspiria,Q1969,2,126,26,13 novembre 1995,1995-11-13,Star Trek: Voyager,Q10993,10,Cold Fire,Q5142258,Cold Fire (episode),Suspiria (Episode),,126,
Maneuvers,Intrighi,Das Signal,Q5870,2,127,27,20 novembre 1995,1995-11-20,Star Trek: Voyager,Q10993,11,Maneuvers,Q6748463,Maneuvers (episode),Das Signal,,127,
Resistance,Resistenza,Die Resistance,Q7560,2,128,28,27 novembre 1995,1995-11-27,Star Trek: Voyager,Q10993,12,Resistance,Q7315598,Resistance (episode),Die Resistance,,128,
Prototype,Prototipo,Prototyp,Q7305,2,129,29,15 gennaio 1996,1996-01-15,Star Trek: Voyager,Q10993,13,Prototype,Q7252175,Prototype (episode),Prototyp (Episode),,129,
Alliances,Alleanze,Allianzen,Q350,2,131,30,22 gennaio 1996,1996-01-22,Star Trek: Voyager,Q10993,14,Alliances,Q4732489,Alliances (episode),Allianzen,,131,
Threshold,Oltre il limite,Die Schwelle,Q9341,2,132,31,29 gennaio 1996,1996-01-29,Star Trek: Voyager,Q10993,15,Threshold,Q7798098,Threshold (episode),Die Schwelle (Episode),,132,
Meld,Fusione mentale,Gewalt,Q6167,2,133,32,5 febbraio 1996,1996-02-05,Star Trek: Voyager,Q10993,16,Meld,Q6812079,Meld (episode),Gewalt (Episode),,133,
Dreadnought,Arma letale,Der Flugkörper,Q2674,2,134,33,12 febbraio 1996,1996-02-12,Star Trek: Voyager,Q10993,17,Dreadnought,Q5306226,Dreadnought (episode),Der Flugkörper,,134,
Death Wish,Diritto di morte,Todessehnsucht,Q2392,2,130,34,19 febbraio 1996,1996-02-19,Star Trek: Voyager,Q10993,18,Death Wish,Q5247250,Death Wish (episode),Todessehnsucht,,130,
Lifesigns,Bellezza virtuale,Lebensanzeichen,Q5424,2,136,35,26 febbraio 1996,1996-02-26,Star Trek: Voyager,Q10993,19,Lifesigns,Q6545463,Lifesigns (episode),Lebensanzeichen,,136,
Investigations,Il commissario Neelix,Der Verräter,Q3978,2,135,36,13 marzo 1996,1996-03-13,Star Trek: Voyager,Q10993,20,Investigations,Q13115914,Investigations (episode),Der Verräter,,135,
Deadlock,L'altra Voyager,Die Verdoppelung,Q2384,2,137,37,18 marzo 1996,1996-03-18,Star Trek: Voyager,Q10993,21,Deadlock,Q269313,Deadlock (episode),Die Verdoppelung,,137,
Innocence,Il ciclo della vita,Unschuld,Q3961,2,138,38,8 aprile 1996,1996-04-08,Star Trek: Voyager,Q10993,22,Innocence,Q6035948,Innocence (episode),Unschuld,,138,
The Thaw,Il volto del terrore,Das Ultimatum,Q9264,2,139,39,29 aprile 1996,1996-04-29,Star Trek: Voyager,Q10993,23,The Thaw,Q4486161,The Thaw (episode),Das Ultimatum,,139,
Tuvix (episodio),Tuvix,,Q9674,2,140,40,6 maggio 1996,1996-05-06,Star Trek: Voyager,Q10993,24,Tuvix,Q7857147,Tuvix (episode),Tuvix (Episode),,140,
Resolutions,Quarantena,Entscheidungen,Q7563,2,141,41,13 maggio 1996,1996-05-13,Star Trek: Voyager,Q10993,25,Resolutions,Q7315703,Resolutions (episode),Entscheidungen (VOY),,141,
Basics - Part I,Sopravvivenza - Prima parte,Der Kampf ums Dasein - Teil 1,Q1114,2,142,42,20 maggio 1996,1996-05-20,Star Trek: Voyager,Q10993,26,"Basics, Part I",Q42599361,"Basics, Part I (episode)","Der Kampf ums Dasein, Teil I",,,KO
Basics - Part II,Sopravvivenza - Seconda parte,Der Kampf ums Dasein - Teil 2,Q1115,3,146,43,4 settembre 1996,1996-09-04,Star Trek: Voyager,Q10993,1,"Basics, Part II",Q25587669,"Basics, Part II (episode)","Der Kampf ums Dasein, Teil II",,,KO
Flashback,Flashback,Tuvoks Flashback,Q3148,3,145,44,11 settembre 1996,1996-09-11,Star Trek: Voyager,Q10993,2,Flashback,Q5457585,Flashback (episode),Tuvoks Flashback,,145,
The Chute,La prigione,Das Hochsicherheitsgefängnis,Q9084,3,147,45,18 settembre 1996,1996-09-18,Star Trek: Voyager,Q10993,3,The Chute,Q7723031,The Chute (episode),Das Hochsicherheitsgefängnis,,147,
The Swarm,Lo sciame,Der Schwarm,Q9258,3,149,46,25 settembre 1996,1996-09-25,Star Trek: Voyager,Q10993,4,The Swarm,Q7767608,The Swarm (episode),Der Schwarm,,149,
False Profits,Profeti e perdite,Das Wurmloch,Q3070,3,144,47,2 ottobre 1996,1996-10-02,Star Trek: Voyager,Q10993,5,False Profits,Q5432663,False Profits (episode),Das Wurmloch,,,KO
Remember,Un sogno per ricordare,Das Erinnern,Q7533,3,148,48,9 ottobre 1996,1996-10-09,Star Trek: Voyager,Q10993,6,Remember,Q7311642,Remember (episode),Das Erinnern,,148,
Sacred Ground,Terra sacra,Das Ritual,Q7947,3,143,49,30 ottobre 1996,1996-10-30,Star Trek: Voyager,Q10993,7,Sacred Ground,Q7397085,Sacred Ground (episode),Das Ritual,,143,
Future's End - Part I,Futuro anteriore - Prima parte,Vor dem Ende der Zukunft - Teil 1,Q3262,3,150,50,6 novembre 1996,1996-11-06,Star Trek: Voyager,Q10993,8,"Future's End, Part I",Q42599325,Future's End (episode),"Vor dem Ende der Zukunft, Teil I",,,KO
Future's End - Part II,Futuro anteriore - Seconda parte,Vor dem Ende der Zukunft - Teil 2,Q3263,3,151,51,13 novembre 1996,1996-11-13,Star Trek: Voyager,Q10993,9,"Future's End, Part II",Q25587671,"Future's End, Part II (episode)","Vor dem Ende der Zukunft, Teil II",,,KO
Warlord,Il signore della guerra,Der Kriegsherr,Q9987,3,152,52,20 novembre 1996,1996-11-20,Star Trek: Voyager,Q10993,10,Warlord,Q7969525,Warlord (episode),Der Kriegsherr,,152,
The Q and the Grey,Questioni di Q-ore,Die Q-Krise,Q9220,3,153,53,27 novembre 1996,1996-11-27,Star Trek: Voyager,Q10993,11,The Q and the Grey,Q14476529,The Q and the Grey (episode),,,153,
Macrocosm,Il virus,Makrokosmos,Q5814,3,154,54,11 dicembre 1996,1996-12-11,Star Trek: Voyager,Q10993,12,Macrocosm,Q6725235,Macrocosm (episode),Makrokosmos,,154,
Fair Trade,Il prezzo dell'onestà,Das Wagnis,Q3061,3,156,55,8 gennaio 1997,1997-01-08,Star Trek: Voyager,Q10993,13,Fair Trade,Q5429920,Fair Trade (episode),Das Wagnis (VOY),,156,
Alter Ego,Un amore impossibile,Das Altere Ego,Q362,3,155,56,15 gennaio 1997,1997-01-15,Star Trek: Voyager,Q10993,14,Alter Ego,Q4736275,Alter Ego (episode),Das andere Ego,,155,
Coda,Circolo chiuso,Der Wille,Q1962,3,158,57,31 gennaio 1997,1997-01-31,Star Trek: Voyager,Q10993,15,Coda,Q5139940,Coda (episode),Der Wille,,158,
Blood Fever,La febbre del sangue,Pon Farr,Q1268,3,157,58,5 febbraio 1997,1997-02-05,Star Trek: Voyager,Q10993,16,Blood Fever,Q4927610,Blood Fever (episode),Pon Farr (Episode),,316,KO
Unity,Unito,Die Kooperative,Q9727,3,159,59,12 febbraio 1997,1997-02-12,Star Trek: Voyager,Q10993,17,Unity,Q7893741,Unity (episode),Die Kooperative,,159,
Darkling,Il lato oscuro,Charakterelemente,Q2239,3,161,60,19 febbraio 1997,1997-02-19,Star Trek: Voyager,Q10993,18,Darkling,Q3514952,Darkling (episode),Charakterelemente,,161,
Rise,L'ascesa,Die Asteroiden,Q7687,3,160,61,26 febbraio 1997,1997-02-26,Star Trek: Voyager,Q10993,19,Rise,Q3514957,Rise (episode),Die Asteroiden,,160,
Favorite Son,Il gioco della mantide,Die neue Identität,Q3090,3,162,62,19 marzo 1997,1997-03-19,Star Trek: Voyager,Q10993,20,Favorite Son,Q5438625,Favorite Son (episode),Die neue Identität,,162,
Before and After,Prima e dopo,Temporale Sprünge,Q1144,3,163,63,9 aprile 1997,1997-04-09,Star Trek: Voyager,Q10993,21,Before and After,Q4880330,Before and After (episode),Temporale Sprünge,,163,
Real Life,Problemi di famiglia,Das wirkliche Leben,Q7478,3,164,64,23 aprile 1997,1997-04-23,Star Trek: Voyager,Q10993,22,Real Life,Q7300960,Real Life (episode),Das wirkliche Leben,,164,
